"","x","y","z"
"71",-121.375316465,38.312521565,5.72195317259282
"72",-121.375089195,38.312521565,5.68364947461334
"127",-121.385316345,38.312312695,7.72651696268479
"128",-121.385089075,38.312312695,7.71232599762179
"129",-121.384861805,38.312312695,7.70050543937212
"130",-121.384634535,38.312312695,7.69123591353047
"131",-121.384407265,38.312312695,7.68471343602009
"132",-121.384179995,38.312312695,7.68115547692721
"133",-121.383952725,38.312312695,7.68080814310331
"134",-121.383725455,38.312312695,7.68395409398737
"135",-121.383498185,38.312312695,7.69092034753593
"136",-121.383270915,38.312312695,7.70208451748312
"137",-121.383043645,38.312312695,7.71787728118027
"138",-121.382816375,38.312312695,7.7387780850695
"139",-121.382589105,38.312312695,7.76530037382424
"140",-121.382361835,38.312312695,7.79796213974469
"141",-121.382134565,38.312312695,7.83037221389497
"142",-121.381907295,38.312312695,7.87677550467674
"143",-121.381680025,38.312312695,7.93039687744494
"144",-121.381452755,38.312312695,7.99107053220594
"145",-121.381225485,38.312312695,8.0581551593544
"146",-121.380998215,38.312312695,8.13038182565279
"147",-121.380770945,38.312312695,8.20570841216236
"148",-121.380543675,38.312312695,8.28120515572136
"149",-121.380316405,38.312312695,8.35300231131142
"150",-121.380089135,38.312312695,8.41633353800001
"151",-121.379861865,38.312312695,8.46570438126698
"152",-121.379634595,38.312312695,8.49520214978043
"153",-121.379407325,38.312312695,8.49894175429347
"154",-121.379180055,38.312312695,8.4716148720185
"155",-121.378952785,38.312312695,8.40908291322038
"156",-121.378725515,38.312312695,8.30893450183522
"157",-121.378498245,38.312312695,8.17092125238959
"158",-121.378270975,38.312312695,7.99719455140365
"159",-121.378043705,38.312312695,7.79229059139327
"160",-121.377816435,38.312312695,7.56284774577954
"161",-121.377589165,38.312312695,7.317083477764
"162",-121.377361895,38.312312695,7.06409905618216
"163",-121.377134625,38.312312695,6.81311008686815
"164",-121.376907355,38.312312695,6.54537574197975
"165",-121.376680085,38.312312695,6.30367940090907
"166",-121.376452815,38.312312695,6.10410891829807
"167",-121.376225545,38.312312695,5.93253008107793
"168",-121.375998275,38.312312695,5.79086507448159
"169",-121.375771005,38.312312695,5.67944518175142
"170",-121.375543735,38.312312695,5.59730441974267
"171",-121.375316465,38.312312695,5.54250951334583
"227",-121.385316345,38.312103825,7.71161541440284
"228",-121.385089075,38.312103825,7.69609722908034
"229",-121.384861805,38.312103825,7.68301917371384
"230",-121.384634535,38.312103825,7.67256334247648
"231",-121.384407265,38.312103825,7.66492521618846
"232",-121.384179995,38.312103825,7.66031928585618
"233",-121.383952725,38.312103825,7.65898583142929
"234",-121.383725455,38.312103825,7.66119853015663
"235",-121.383498185,38.312103825,7.66727210412215
"236",-121.383270915,38.312103825,7.67756858003019
"237",-121.383043645,38.312103825,7.69249996534208
"238",-121.382816375,38.312103825,7.71252433508974
"239",-121.382589105,38.312103825,7.73813161247823
"240",-121.382361835,38.312103825,7.76981488242875
"241",-121.382134565,38.312103825,7.80138495642537
"242",-121.381907295,38.312103825,7.84653702647406
"243",-121.381680025,38.312103825,7.8987714186015
"244",-121.381452755,38.312103825,7.95790760427421
"245",-121.381225485,38.312103825,8.02329761825171
"246",-121.380998215,38.312103825,8.09367613262335
"247",-121.380770945,38.312103825,8.16701491917916
"248",-121.380543675,38.312103825,8.24040433516319
"249",-121.380316405,38.312103825,8.30999095556598
"250",-121.380089135,38.312103825,8.37100382517623
"251",-121.379861865,38.312103825,8.41789934444357
"252",-121.379634595,38.312103825,8.44464453938947
"253",-121.379407325,38.312103825,8.44514015144281
"254",-121.379180055,38.312103825,8.41376072429276
"255",-121.378952785,38.312103825,8.34596283188905
"256",-121.378725515,38.312103825,8.23888993864227
"257",-121.378498245,38.312103825,8.09188804197433
"258",-121.378270975,38.312103825,7.90684426322899
"259",-121.378043705,38.312103825,7.68827391549837
"260",-121.377816435,38.312103825,7.44311171546582
"261",-121.377589165,38.312103825,7.18020800781883
"262",-121.377361895,38.312103825,6.90958423661871
"263",-121.377134625,38.312103825,6.64155091798809
"264",-121.376907355,38.312103825,6.35964183827479
